pair,trips,toolong,average
31013to31226,2,0,5978
31013to31231,1,0,1778
31013to31232,1,0,1294
31013to31234,3,0,2417
31013to31238,1,0,2596
31013to31240,2,0,2084
31013to31241,1,0,2081
31013to31247,2,0,1569
31013to31249,13,0,1248
31013to31258,3,0,1496
31014to31000,1,0,1186
31014to31001,68,0,1702
31014to31002,86,0,1579
31014to31003,22,0,1668
31014to31004,5,0,1461
31014to31005,5,0,2087
31014to31006,26,0,1574
31014to31007,32,1,1823
31014to31008,37,0,1574
31014to31009,3,0,1836
31014to31010,4,0,1549
31014to31011,11,0,1487
31014to31013,5,0,1623
31014to31015,26,10,276
31014to31016,24,0,450
31014to31017,73,0,660
31014to31018,19,0,451
31014to31019,66,0,731
31014to31020,36,0,696
31014to31021,26,0,1325
31014to31022,45,0,783
31014to31023,14,0,921
31014to31024,49,0,914
31014to31025,17,0,1357
31014to31026,2,0,901
31014to31027,21,1,383
31014to31028,11,0,588
31014to31029,42,1,633
31014to31030,42,0,679
31014to31031,65,0,565
31014to31032,3,0,1322
31014to31033,69,0,1044
31014to31034,53,0,1086
31014to31035,12,0,1306
31014to31036,13,1,1500
31014to31037,19,0,1349
31014to31038,1,0,1333
31014to31039,12,0,1189
31014to31040,5,0,928
31014to31041,12,0,3692
31014to31042,12,0,3221
31014to31043,12,0,3168
31014to31046,1,0,4755
31014to31047,3,0,2221
31014to31049,6,0,1257
31014to31050,16,0,825
31014to31051,35,1,461
31014to31053,2,0,2223
31014to31055,3,0,1755
31014to31056,2,0,2828
31014to31060,1,0,4317
31014to31065,1,0,797
31014to31100,24,0,933
31014to31101,45,0,1434
31014to31102,37,0,2005
31014to31103,15,0,1551
31014to31104,44,0,1348
31014to31105,14,0,1735
31014to31106,17,0,1441
31014to31107,22,0,1538
31014to31108,8,0,1453
31014to31109,29,0,1392
31014to31110,101,1,1117
31014to31111,16,1,1462
31014to31112,6,0,1482
31014to31113,28,0,1404
31014to31114,13,0,1101
31014to31115,5,0,2272
31014to31116,36,0,1119
31014to31200,190,1,1013
31014to31201,61,0,1189
31014to31202,21,0,1472
31014to31203,24,0,1252
31014to31204,16,0,952
31014to31205,48,0,819
31014to31206,7,0,1181
31014to31207,1,0,1469
31014to31208,1,0,1884
31014to31211,58,0,754
